id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,zipcode,lat,long,has_renovated,grade_bins,yr_bins
7129300520,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,0,1955,98178,47.5112,-122.257,0,fair,mid_century
6414100192,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,400,1951,98125,47.721000000000004,-122.319,0,fair,mid_century
5631500400,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,0,1933,98028,47.7379,-122.23299999999999,0,dropped,early_century
2487200875,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,910,1965,98136,47.5208,-122.39299999999999,0,fair,mid_century
1954400510,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,0,1987,98074,47.6168,-122.045,0,good,modern
1321400060,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,0,1995,98003,47.3097,-122.32700000000001,0,fair,modern
2008000270,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,0,1963,98198,47.4095,-122.315,0,fair,mid_century
2414600126,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,730,1960,98146,47.5123,-122.337,0,fair,mid_century
3793500160,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,0,2003,98038,47.3684,-122.031,0,fair,post_modern
1736800520,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1700,1965,98007,47.6007,-122.145,0,good,mid_century
9212900260,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,300,1942,98115,47.69,-122.292,0,fair,early_century
114101516,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,0,1927,98028,47.7558,-122.229,0,fair,early_century
6054650070,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,0,1977,98074,47.6127,-122.045,0,fair,modern
1175000570,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,0,1900,98107,47.67,-122.39399999999999,0,fair,
